date,measurement1,measurement2,user,context1,context2
2019-03-26 05:36:00,10.166666666666666,46.0,Justin,entity2,entity2
2019-03-27 05:53:00,10.933333333333334,15.0,Justin,entity2,entity1
2019-03-28 05:56:00,11.0,25.0,Justin,entity2,entity1
2019-03-29 05:46:00,10.25,16.0,Justin,entity2,entity1
2019-03-30 05:27:00,9.683333333333334,30.0,Justin,entity2,entity1
2019-03-31 07:21:00,9.7,12.0,Justin,entity2,entity1
2019-04-01 03:51:00,8.733333333333334,33.0,Justin,entity2,entity1
2019-04-02 05:40:00,11.716666666666667,22.0,Justin,entity2,entity1
2019-04-03 05:52:00,11.55,26.0,Justin,entity2,entity1
2019-04-04 05:30:00,10.566666666666666,21.0,Justin,entity2,entity1
2019-04-05 05:32:00,9.783333333333333,24.0,Justin,entity2,entity1
2019-04-06 12:32:00,13.033333333333333,17.0,Justin,entity2,entity1
2019-04-07 08:07:00,14.983333333333333,17.0,Justin,entity2,entity2
2019-04-08 07:08:00,12.75,90.0,Justin,entity2,entity1
2019-04-09 05:51:00,10.583333333333334,38.0,Justin,entity2,entity1
2019-04-10 06:47:00,11.483333333333333,37.0,Justin,entity2,entity1
2019-04-11 06:48:00,11.766666666666667,33.0,Justin,entity2,entity1
2019-04-12 05:18:00,10.383333333333333,41.0,Justin,entity2,entity1
2019-04-13 05:28:00,11.116666666666667,27.0,Justin,entity2,entity1
2019-04-14 05:33:00,10.616666666666667,32.0,Justin,entity2,entity1
2019-04-15 05:12:00,12.433333333333334,21.0,Justin,entity2,entity1
2019-04-16 04:41:00,10.366666666666667,28.0,Justin,entity2,entity1
2019-04-17 05:03:00,9.733333333333334,22.0,Justin,entity2,entity1
2019-04-18 05:15:00,10.95,24.0,Justin,entity2,entity1
2019-04-19 05:58:00,11.316666666666666,25.0,Justin,entity2,entity1
2019-04-20 05:21:00,10.583333333333334,54.0,Justin,entity2,entity1
2019-04-21 05:10:00,9.816666666666666,58.0,Justin,entity1,entity2
2019-04-22 09:58:00,3.4,19.0,Justin,entity1,entity1
2019-04-23 04:59:00,10.333333333333334,54.0,Justin,entity1,entity2
2019-04-24 05:29:00,10.8,21.0,Justin,entity2,entity1
2019-04-25 05:43:00,10.566666666666666,38.0,Justin,entity2,entity1
2019-04-26 05:20:00,9.783333333333333,52.0,Justin,entity2,entity1
2019-04-27 09:37:00,10.916666666666666,27.0,Justin,entity2,entity1
2019-04-28 06:26:00,9.133333333333333,26.0,Justin,entity2,entity1
2019-04-29 04:44:00,10.133333333333333,37.0,Justin,entity2,entity1
2019-04-30 05:00:00,10.583333333333334,46.0,Justin,entity2,entity1
2019-05-01 05:14:00,10.533333333333333,67.0,Justin,entity2,entity1
2019-05-02 05:10:00,11.816666666666666,67.0,Justin,entity2,entity1
2019-05-03 05:03:00,10.266666666666667,35.0,Justin,entity2,entity1
2019-05-04 06:45:00,9.25,24.0,Justin,entity2,entity1
2019-05-05 09:05:00,10.433333333333334,19.0,Justin,entity2,entity1
2019-05-06 05:46:00,10.816666666666666,27.0,Justin,entity2,entity1
2019-05-07 03:33:00,9.05,67.0,Justin,entity2,entity1
2019-05-08 05:50:00,10.633333333333333,63.0,Justin,entity2,entity1
2019-05-09 05:38:00,10.366666666666667,53.0,Justin,entity3,entity1
2019-05-10 04:56:00,10.116666666666667,27.0,Justin,entity2,entity1
2019-05-11 04:25:00,8.766666666666666,63.0,Justin,entity2,entity1
2019-05-12 04:12:00,8.2,29.0,Justin,entity2,entity1
2019-05-13 04:47:00,10.683333333333334,15.0,Justin,entity2,entity1
2019-05-14 05:01:00,10.283333333333333,25.0,Justin,entity2,entity1
2019-05-15 02:21:00,7.516666666666667,71.0,Justin,entity2,entity1
2019-05-16 05:36:00,10.616666666666667,18.0,Justin,entity2,entity2
2019-05-17 05:31:00,10.683333333333334,30.0,Justin,entity2,entity1
2019-05-18 04:03:00,9.333333333333332,39.0,Justin,entity2,entity1
2019-05-19 09:05:00,8.3,33.0,Justin,entity3,entity1
2019-05-20 00:36:00,7.866666666666666,25.0,Justin,entity2,entity1
2019-05-21 05:48:00,11.533333333333333,27.0,Justin,entity3,entity1
2019-05-22 05:54:00,11.083333333333334,31.0,Justin,entity2,entity1
2019-05-23 04:35:00,9.75,27.0,Justin,entity2,entity1
2019-05-24 06:55:00,11.816666666666666,57.0,Justin,entity2,entity1
2019-05-25 05:07:00,6.316666666666666,23.0,Justin,entity2,entity1
2019-05-26 06:39:00,11.183333333333334,41.0,Justin,entity2,entity1
2019-05-27 04:48:00,9.75,81.0,Justin,entity2,entity1
2019-05-28 04:01:00,9.466666666666667,36.0,Justin,entity2,entity1
2019-05-29 05:01:00,10.433333333333334,37.0,Justin,entity2,entity1
2019-05-30 06:39:00,10.733333333333333,51.0,Justin,entity2,entity1
2019-05-31 07:00:00,9.05,23.0,Justin,entity2,entity2
2019-06-01 07:41:00,11.483333333333333,52.0,Justin,entity2,entity1
2019-06-02 08:11:00,8.366666666666667,20.0,Justin,entity2,entity1
2019-06-03 05:58:00,9.9,52.0,Justin,entity3,entity1
2019-06-04 05:49:00,10.833333333333334,26.0,Justin,entity3,entity1
2019-06-05 05:48:00,10.233333333333333,27.0,Justin,entity3,entity1
2019-06-06 04:47:00,10.333333333333334,42.0,Justin,entity2,entity1
2019-06-07 04:15:00,8.85,29.0,Justin,entity2,entity1
2019-06-08 05:39:00,9.333333333333332,17.0,Justin,entity2,entity1
2019-06-09 05:31:00,9.683333333333334,53.0,Justin,entity2,entity1
2019-06-10 05:04:00,9.766666666666666,76.0,Justin,entity2,entity1
2019-06-11 04:40:00,10.333333333333334,29.0,Justin,entity3,entity1
2019-06-12 04:47:00,9.833333333333332,38.0,Justin,entity2,entity2
2019-06-13 05:09:00,8.983333333333334,45.0,Justin,entity2,entity1
2019-06-14 05:53:00,10.016666666666667,20.0,Justin,entity3,entity1
2019-06-15 05:47:00,9.683333333333334,35.0,Justin,entity3,entity1
2019-06-16 05:21:00,8.283333333333333,24.0,Justin,entity3,entity1
2019-07-05 06:16:00,12.833333333333334,31.0,Justin,entity2,entity1
2019-07-06 06:41:00,9.883333333333333,32.0,Justin,entity2,entity1
2019-07-07 06:19:00,8.15,26.0,Justin,entity2,entity1
2019-07-08 04:56:00,11.566666666666666,34.0,Justin,entity2,entity1
2019-07-09 05:56:00,11.466666666666667,62.0,Justin,entity2,entity1
2019-07-10 05:00:00,10.066666666666666,33.0,Justin,entity2,entity1
2019-07-11 05:02:00,10.533333333333333,60.0,Justin,entity2,entity1
2019-07-12 05:19:00,10.516666666666667,46.0,Justin,entity2,entity1
2019-07-13 06:57:00,10.733333333333333,30.0,Justin,entity3,entity1
2019-07-14 09:05:00,7.25,25.0,Justin,entity2,entity1
2019-07-15 03:44:00,8.9,130.0,Justin,entity2,entity1
2019-07-16 05:33:00,17.35,29.0,Justin,entity2,entity1
2019-07-17 05:44:00,10.933333333333334,27.0,Justin,entity2,entity1
2019-07-18 05:24:00,11.0,25.0,Justin,entity2,entity1
2019-07-19 05:45:00,9.633333333333333,21.0,Justin,entity2,entity1
